,ID,Comment
90,드림팀랭League of Legends,0:47 이건 심해에서 나오면 고마워하는 챔프 TOP 10아님?
91,김판테 판테장인,7:45 와 판테온이다~
92,G ROOT,오
93,제비학생,와! PS! 너무조아!
94,기찬이,천상계가 까다로워해도 우리지상계는 관계가없다 ㅋㅋ
95,박형준,아 늦음
96,공명선생,금요일 기모띠
97,지유,팩트:우리는 천상계가 아니라 저 챔프들이 까다롭지 않다
98,시계토끼,-진짜-
99,장쥐환의콧물,흐에!!!
